0.55,0,-3.242,2.828,1.058,-0.108,0.042,-0.001,0,208.877,48.138,-8.006,3.199,-0.007,-90.623,311.049,102.831,-20.009,-15.16,-13.942,67.132,-81.67,-47.274,11.281,18.795,14.005
0.56,0,-3.496,3.047,1.14,-0.116,0.045,-0.001,0,208.941,48.29,-8.031,3.199,-0.007,-94.149,314.626,104.752,-20.232,-15.49,-14.172,69.497,-84.772,-48.732,11.415,19.143,14.236
0.57,0,-3.761,3.275,1.225,-0.125,0.049,-0.001,0,209.008,48.449,-8.057,3.2,-0.007,-97.14,318.537,106.674,-20.375,-15.868,-14.453,71.279,-87.719,-50.173,11.476,19.559,14.541
0.58,0,-4.035,3.513,1.314,-0.134,0.053,-0.001,0,209.079,48.614,-8.083,3.2,-0.007,-99.489,322.063,108.102,-20.45,-16.249,-14.7,72.411,-89.894,-50.78,11.457,19.952,14.759
0.59,0,-4.319,3.761,1.407,-0.143,0.057,-0.001,-0,209.155,48.788,-8.111,3.201,-0.007,-101.303,325.129,109.348,-20.611,-16.645,-14.858,73.167,-91.894,-51.614,11.622,20.38,14.887
0.6,0,-4.612,4.017,1.502,-0.153,0.061,-0.001,-0,209.233,48.968,-8.14,3.202,-0.007,-102.683,327.814,110.581,-20.946,-17.026,-14.971,73.561,-93.529,-52.337,11.957,20.764,14.992
0.61,0,-4.911,4.282,1.6,-0.163,0.065,-0.001,0,209.315,49.156,-8.17,3.203,-0.007,-104.271,329.743,111.879,-21.201,-17.509,-15.092,74.747,-94.069,-53.136,12.059,21.327,15.121
0.62,0,-5.217,4.558,1.703,-0.174,0.069,-0.001,0,209.401,49.352,-8.201,3.204,-0.007,-106.226,330.646,112.569,-21.239,-18.022,-15.173,76.131,-93.475,-52.88,11.933,21.848,15.177
0.63,0,-5.529,4.841,1.808,-0.185,0.074,-0.001,0,209.489,49.555,-8.234,3.206,-0.007,-108.346,331.011,113.376,-21.228,-18.55,-15.209,77.534,-93.13,-53.569,11.899,22.404,15.203
0.64,0,-5.85,5.127,1.914,-0.195,0.079,-0.001,0,209.582,49.767,-8.267,3.207,-0.007,-110.443,332.14,114.64,-21.345,-19.023,-15.209,78.858,-94.31,-54.615,12.04,22.85,15.19
0.65,0,-6.176,5.415,2.021,-0.206,0.084,-0.001,0,209.677,49.987,-8.302,3.209,-0.007,-112.84,335.211,116.36,-21.606,-19.498,-15.282,80.855,-97.886,-56.177,12.303,23.351,15.306
0.66,0,-6.509,5.709,2.13,-0.217,0.088,-0.001,0,209.776,50.214,-8.337,3.211,-0.007,-115.689,339.409,118.348,-21.866,-19.946,-15.472,83.229,-101.436,-57.711,12.471,23.795,15.531
0.67,0,-6.849,6.013,2.243,-0.229,0.094,-0.002,0,209.878,50.445,-8.374,3.213,-0.007,-118.317,343.191,120.424,-22.042,-20.486,-15.743,84.808,-103.644,-59.16,12.527,24.423,15.825
0.68,0,-7.199,6.329,2.36,-0.241,0.099,-0.002,0,209.981,50.681,-8.41,3.216,-0.007,-119.891,345.769,121.971,-22.286,-20.979,-16.032,84.949,-104.469,-59.783,12.743,24.892,16.112
0.69,0,-7.556,6.655,2.481,-0.254,0.105,-0.002,0,210.087,50.921,-8.447,3.219,-0.007,-120.846,347.351,122.724,-22.416,-21.453,-16.392,85.214,-104.739,-59.683,12.703,25.409,16.508
